Infinitive,Präsens_ich,Präsens_du,"Präsens_er, sie, es",Präteritum_ich,Partizip II,Konjunktiv II_ich,Imperativ Singular,Imperativ Plural,Hilfsverb
abpatrouillieren,patrouilliere ab,patrouillierst ab,patrouilliert ab,patrouillierte ab,abpatrouilliert,patrouillierte ab,patrouillier ab,patrouilliert ab,haben
abpausen,pause ab,paust ab,paust ab,pauste ab,abgepaust,pauste ab,pause ab,paust ab,haben
abpellen,pelle ab,pellst ab,pellt ab,pellte ab,abgepellt,pellte ab,pelle ab,pellt ab,haben
abperlen,—,—,perlt ab,perlte ab,abgeperlt,perlte ab,—,—,sein
abpfeifen,pfeife ab,pfeifst ab,pfeift ab,pfiff ab,abgepfiffen,pfiffe ab,pfeife ab,pfeift ab,haben
abpflücken,pflücke ab,pflückst ab,pflückt ab,pflückte ab,abgepflückt,pflückte ab,pflücke ab,pflückt ab,haben
abpimmeln,pimmel ab,pimmelst ab,pimmelt ab,pimmelte ab,abgepimmelt,pimmelte ab,pimmel ab,pimmelt ab,haben
abpinnen,pinne ab,pinnst ab,pinnt ab,pinnte ab,abgepinnt,pinnte ab,pinn ab,pinnt ab,haben
abpipettieren,pipettiere ab,pipettierst ab,pipettiert ab,pipettierte ab,abpipettiert,pipettierte ab,pipettier ab,pipettiert ab,haben
abplacken,placke ab,plackst ab,plackt ab,plackte ab,abgeplackt,plackte ab,placke ab,plackt ab,haben
abpölen,pöle ab,pölst ab,pölt ab,pölte ab,abgepölt,pölte ab,pöle ab,pölt ab,haben
abpressen,presse ab,presst ab,presst ab,presste ab,abgepresst,presste ab,press ab,presst ab,haben
abprotzen,protze ab,protzt ab,protzt ab,protzte ab,abgeprotzt,protzte ab,protz ab,protzt ab,haben
abqualifizieren,qualifiziere ab,qualifizierst ab,qualifiziert ab,qualifizierte ab,abqualifiziert,qualifizierte ab,qualifiziere ab,qualifiziert ab,haben
abquatschen,quatsche ab,quatschst ab,quatscht ab,quatschte ab,abgequatscht,quatschte ab,quatsch ab,quatscht ab,haben
abquetschen,quetsche ab,quetschst ab,quetscht ab,quetschte ab,abgequetscht,quetschte ab,quetsch ab,quetscht ab,haben
abrackern,rackere ab,rackerst ab,rackert ab,rackerte ab,abgerackert,rackerte ab,rackere ab,rackert ab,haben
abrasieren,rasiere ab,rasierst ab,rasiert ab,rasierte ab,abrasiert,rasierte ab,rasier ab,rasiert ab,haben
abräumen,räume ab,räumst ab,räumt ab,räumte ab,abgeräumt,räumte ab,räume ab,räumt ab,haben
abreagieren,reagiere ab,reagierst ab,reagiert ab,reagierte ab,abreagiert,reagierte ab,reagier ab,reagiert ab,haben
abrechnen,rechne ab,rechnest ab,rechnet ab,rechnete ab,abgerechnet,rechnete ab,rechne ab,rechnet ab,haben
abreiben,reibe ab,reibst ab,reibt ab,rieb ab,abgerieben,riebe ab,reib ab,reibt ab,haben
abreisen,reise ab,reist ab,reist ab,reiste ab,abgereist,reiste ab,reise ab,reist ab,sein
abreißen,reiße ab,reißt ab,reißt ab,riss ab,abgerissen,risse ab,reiß ab,reißt ab,haben
abriegeln,riegele ab,riegelst ab,riegelt ab,riegelte ab,abgeriegelt,riegelte ab,riegele ab,riegelt ab,haben
abringen,ringe ab,ringst ab,ringt ab,rang ab,abgerungen,ränge ab,ring ab,ringt ab,haben
abrocken,rocke ab,rockst ab,rockt ab,rockte ab,abgerockt,rockte ab,rocke ab,rockt ab,haben
abrogieren,abrogiere,abrogierst,abrogiert,abrogierte,abrogiert,abrogierte,abrogier,abrogiert,haben
abrücken,rücke ab,rückst ab,rückt ab,rückte ab,abgerückt,rückte ab,rück ab,rückt ab,sein
abrufen,rufe ab,rufst ab,ruft ab,rief ab,abgerufen,riefe ab,ruf ab,ruft ab,haben
abrunden,runde ab,rundest ab,rundet ab,rundete ab,abgerundet,rundete ab,runde ab,rundet ab,haben
abrüsten,rüste ab,rüstest ab,rüstet ab,rüstete ab,abgerüstet,rüstete ab,rüst ab,rüstet ab,haben
abrutschen,rutsche ab,rutschst ab,rutscht ab,rutschte ab,abgerutscht,rutschte ab,rutsch ab,rutscht ab,sein
absacken,sacke ab,sackst ab,sackt ab,sackte ab,abgesackt,sackte ab,sack ab,sackt ab,sein
absagen,sage ab,sagst ab,sagt ab,sagte ab,abgesagt,sagte ab,sage ab,sagt ab,haben
absägen,säge ab,sägst ab,sägt ab,sägte ab,abgesägt,sägte ab,säg ab,sägt ab,haben
absahnen,sahne ab,sahnst ab,sahnt ab,sahnte ab,abgesahnt,sahnte ab,sahne ab,sahnt ab,haben
absaugen,sauge ab,saugst ab,saugt ab,sog ab,abgesogen,söge ab,saug ab,saugt ab,haben
absaven,save ab,savst ab,savt ab,savte ab,abgesavt,savte ab,save ab,savt ab,haben
abschachern,schachere ab,schacherst ab,schachert ab,schacherte ab,abgeschachert,schacherte ab,schachere ab,schachert ab,haben
abschaffen,schaffe ab,schaffst ab,schafft ab,schaffte ab,abgeschafft,schaffte ab,schaffe ab,schafft ab,haben
abschalten,schalte ab,schaltest ab,schaltet ab,schaltete ab,abgeschaltet,schaltete ab,schalt ab,schaltet ab,haben
abschärfen,schärfe ab,schärfst ab,schärft ab,schärfte ab,abgeschärft,schärfte ab,schärfe ab,schärft ab,haben
abschauen,schau ab,schaust ab,schaut ab,schaute ab,abgeschaut,schaute ab,schau ab,schaut ab,haben
abscheiden,scheide ab,scheidest ab,scheidet ab,schied ab,abgeschieden,schiede ab,scheid ab,scheidet ab,haben
abschenken,schenke ab,schenkst ab,schenkt ab,schenkte ab,abgeschenkt,schenkte ab,schenk ab,schenkt ab,haben
abschicken,schicke ab,schickst ab,schickt ab,schickte ab,abgeschickt,schickte ab,schick ab,schickt ab,haben
abschieben,schiebe ab,schiebst ab,schiebt ab,schob ab,abgeschoben,schöbe ab,schiebe ab,schiebt ab,haben
abschießen,schieße ab,schießt ab,schießt ab,schoss ab,abgeschossen,schösse ab,schieß ab,schießt ab,haben
abschirmen,schirme ab,schirmst ab,schirmt ab,schirmte ab,abgeschirmt,schirmte ab,schirm ab,schirmt ab,haben
abschlachten,schlachte ab,schlachtest ab,schlachtet ab,schlachtete ab,abgeschlachtet,schlachtete ab,schlachte ab,schlachtet ab,haben
abschlagen,schlage ab,schlägst ab,schlägt ab,schlug ab,abgeschlagen,schlüge ab,schlag ab,schlagt ab,haben
abschleppen,schleppe ab,schleppst ab,schleppt ab,schleppte ab,abgeschleppt,schleppte ab,schleppe ab,schleppt ab,haben
abschließen,schließe ab,schließt ab,schließt ab,schloss ab,abgeschlossen,schlösse ab,schließ ab,schließt ab,haben
abschmecken,schmecke ab,schmeckst ab,schmeckt ab,schmeckte ab,abgeschmeckt,schmeckte ab,schmeck ab,schmeckt ab,haben
abschmettern,schmettere ab,schmetterst ab,schmettert ab,schmetterte ab,abgeschmettert,schmetterte ab,schmetter ab,schmettert ab,haben
abschmieren,schmiere ab,schmierst ab,schmiert ab,schmierte ab,abgeschmiert,schmierte ab,schmier ab,schmiert ab,sein
abschminken,schminke ab,schminkst ab,schminkt ab,schminkte ab,abgeschminkt,schminkte ab,schminke ab,schminkt ab,haben
abschmirgeln,schmirgele ab,schmirgelst ab,schmirgelt ab,schmirgelte ab,abgeschmirgelt,schmirgelte ab,schmirgele ab,schmirgelt ab,haben
abschmücken,schmücke ab,schmückst ab,schmückt ab,schmückte ab,abgeschmückt,schmückte ab,schmück ab,schmückt ab,haben
abschneiden,schneide ab,schneidest ab,schneidet ab,schnitt ab,abgeschnitten,schnitte ab,schneide ab,schneidet ab,haben
abschöpfen,schöpfe ab,schöpfst ab,schöpft ab,schöpfte ab,abgeschöpft,schöpfte ab,schöpf ab,schöpft ab,haben
abschotten,schotte ab,schottest ab,schottet ab,schottete ab,abgeschottet,schottete ab,schott ab,schottet ab,haben
abschrecken,schrecke ab,schreckst ab,schreckt ab,schreckte ab,abgeschreckt,schreckte ab,schreck ab,schreckt ab,haben
abschreiben,schreibe ab,schreibst ab,schreibt ab,schrieb ab,abgeschrieben,schriebe ab,schreib ab,schreibt ab,haben
abschwächen,schwäche ab,schwächst ab,schwächt ab,schwächte ab,abgeschwächt,schwächte ab,schwäch ab,schwächt ab,haben
abschwellen,schwelle ab,schwillst ab,schwillt ab,schwoll ab,abgeschwollen,schwölle ab,schwill ab,schwellt ab,sein
absegeln,segle ab,segelst ab,segelt ab,segelte ab,abgesegelt,segelte ab,segle ab,segelt ab,haben
absegnen,segne ab,segnest ab,segnet ab,segnete ab,abgesegnet,segnete ab,segne ab,segnet ab,haben
absehen,sehe ab,siehst ab,sieht ab,sah ab,abgesehen,sähe ab,sieh ab,seht ab,haben
abseihen,seihe ab,seihst ab,seiht ab,seihte ab,abgeseiht,seihte ab,seih ab,seiht ab,haben
abseilen,seile ab,seilst ab,seilt ab,seilte ab,abgeseilt,seilte ab,seil ab,seilt ab,haben
absenden,sende ab,sendest ab,sendet ab,sendete ab,abgesendet,sendete ab,send ab,sendet ab,haben
absentieren,absentiere,absentierst,absentiert,absentierte,absentiert,absentierte,absentier,absentiert,haben
absetzen,setze ab,setzt ab,setzt ab,setzte ab,abgesetzt,setzte ab,setz ab,setzt ab,haben
absichern,sichere ab,sicherst ab,sichert ab,sicherte ab,abgesichert,sicherte ab,sichere ab,sichert ab,haben
absolvieren,absolviere,absolvierst,absolviert,absolvierte,absolviert,absolvierte,absolviere,absolviert,haben
absondern,sondere ab,sonderst ab,sondert ab,sonderte ab,abgesondert,sonderte ab,sondere ab,sondert ab,haben
absorbieren,absorbiere,absorbierst,absorbiert,absorbierte,absorbiert,absorbierte,absorbiere,absorbiert,haben
abspannen,spanne ab,spannst ab,spannt ab,spannte ab,abgespannt,spannte ab,spann ab,spannt ab,haben
abspecken,specke ab,speckst ab,speckt ab,speckte ab,abgespeckt,speckte ab,speck ab,speckt ab,haben
abspeichern,speichere ab,speicherst ab,speichert ab,speicherte ab,abgespeichert,speicherte ab,speichere ab,speichert ab,haben
abspicken,spicke ab,spickst ab,spickt ab,spickte ab,abgespickt,spickte ab,spick ab,spickt ab,haben
abspinnen,spinne ab,spinnst ab,spinnt ab,spann ab,abgesponnen,spänne ab,spinn ab,spinnt ab,haben
absporen,—,—,sport ab,sporte ab,abgesport,sporte ab,—,—,haben
absprechen,spreche ab,sprichst ab,spricht ab,sprach ab,abgesprochen,spräche ab,sprich ab,sprecht ab,haben
abspringen,springe ab,springst ab,springt ab,sprang ab,abgesprungen,spränge ab,spring ab,springt ab,sein
abspritzen,spritze ab,spritzt ab,spritzt ab,spritzte ab,abgespritzt,spritzte ab,spritz ab,spritzt ab,haben
abspulen,spule ab,spulst ab,spult ab,spulte ab,abgespult,spulte ab,spul ab,spult ab,haben
abspülen,spüle ab,spülst ab,spült ab,spülte ab,abgespült,spülte ab,spüle ab,spült ab,haben
abstammen,stamme ab,stammst ab,stammt ab,stammte ab,abgestammt,stammte ab,stamm ab,stammt ab,sein
abstauben,staube ab,staubst ab,staubt ab,staubte ab,abgestaubt,staubte ab,staube ab,staubt ab,haben
abstecken,stecke ab,steckst ab,steckt ab,steckte ab,abgesteckt,steckte ab,stecke ab,steckt ab,haben
absteigen,steige ab,steigst ab,steigt ab,stieg ab,abgestiegen,stiege ab,steig ab,steigt ab,sein
abstellen,stelle ab,stellst ab,stellt ab,stellte ab,abgestellt,stellte ab,stell ab,stellt ab,haben
abstempeln,stemple ab,stempelst ab,stempelt ab,stempelte ab,abgestempelt,stempelte ab,stemple ab,stempelt ab,haben
absterben,sterbe ab,stirbst ab,stirbt ab,starb ab,abgestorben,stürbe ab,stirb ab,sterbt ab,sein
abstillen,stille ab,stillst ab,stillt ab,stillte ab,abgestillt,stillte ab,stille ab,stillt ab,haben
abstimmen,stimme ab,stimmst ab,stimmt ab,stimmte ab,abgestimmt,stimmte ab,stimm ab,stimmt ab,haben
abstoßen,stoße ab,stößt ab,stößt ab,stieß ab,abgestoßen,stieße ab,stoße ab,stoßt ab,haben
abstottern,stottere ab,stotterst ab,stottert ab,stotterte ab,abgestottert,stotterte ab,stotter ab,stottert ab,haben
abstrafen,strafe ab,strafst ab,straft ab,strafte ab,abgestraft,strafte ab,straf ab,straft ab,haben
abstrahieren,abstrahiere,abstrahierst,abstrahiert,abstrahierte,abstrahiert,abstrahierte,abstrahiere,abstrahiert,haben
abstreiten,streite ab,streitest ab,streitet ab,stritt ab,abgestritten,stritte ab,streite ab,streitet ab,haben
abstürzen,stürze ab,stürzt ab,stürzt ab,stürzte ab,abgestürzt,stürzte ab,stürz ab,stürzt ab,sein
abstützen,stütze ab,stützt ab,stützt ab,stützte ab,abgestützt,stützte ab,stütze ab,stützt ab,haben
abtakeln,takle ab,takelst ab,takelt ab,takelte ab,abgetakelt,takelte ab,takel ab,takelt ab,haben
abtauchen,tauche ab,tauchst ab,taucht ab,tauchte ab,abgetaucht,tauchte  ab,tauch ab,taucht ab,sein
abtauschen,tausche ab,tauschst ab,tauscht ab,tauschte ab,abgetauscht,tauschte ab,tausch ab,tauscht ab,haben
abteilen,teile ab,teilst ab,teilt ab,teilte ab,abgeteilt,teilte ab,teil ab,teilt ab,haben
abtelefonieren,telefoniere ab,telefonierst ab,telefoniert ab,telefonierte ab,abtelefoniert,telefonierte ab,telefoniere ab,telefoniert ab,haben
abteufen,teufe ab,teufst ab,teuft ab,teufte ab,abgeteuft,teufte ab,teuf ab,teuft ab,haben
abtörnen,törne ab,törnst ab,törnt ab,törnte ab,abgetörnt,törnte ab,törn ab,törnt ab,haben
abtragen,trage ab,trägst ab,trägt ab,trug ab,abgetragen,trüge,trag ab,tragt ab,haben
abtransportieren,transportiere ab,transportierst ab,transportiert ab,transportierte ab,abtransportiert,transportierte ab,transportiere ab,transportiert ab,haben
abtreiben,treibe ab,treibst ab,treibt ab,trieb ab,abgetrieben,triebe ab,treibe ab,treibt ab,haben
abtrennen,trenne ab,trennst ab,trennt ab,trennte ab,abgetrennt,trennte ab,trenn ab,trennt ab,haben
abtreten,trete ab,trittst ab,tritt ab,trat ab,abgetreten,träte ab,tritt ab,tretet ab,haben
abtrocknen,trockne ab,trocknest ab,trocknet ab,trocknete ab,abgetrocknet,trocknete ab,trockne ab,trocknet ab,haben
abtropfen,tropfe ab,tropfst ab,tropft ab,tropfte ab,abgetropft,tropfte ab,tropfe ab,tropft ab,sein
abtun,tue ab,tust ab,tut ab,tat ab,abgetan,täte ab,tu ab,tut ab,haben
abtupfen,tupfe ab,tupfst ab,tupft ab,tupfte ab,abgetupft,tupfte ab,tupfe ab,tupft ab,haben
abwägen,wäge ab,wägst ab,wägt ab,wog ab,abgewogen,wöge ab,wäge ab,wägt ab,haben
abwählen,wähle ab,wählst ab,wählt ab,wählte ab,abgewählt,wählte ab,wähl ab,wählt ab,haben
abwandern,wandere ab,wanderst ab,wandert ab,wanderte ab,abgewandert,wanderte ab,wandere ab,wandert ab,sein
abwarten,warte ab,wartest ab,wartet ab,wartete ab,abgewartet,wartete ab,wart ab,wartet ab,haben
abwärtsfahren,fahre abwärts,fährst abwärts,fährt abwärts,fuhr abwärts,abwärtsgefahren,führe abwärts,fahr abwärts,fahrt abwärts,sein
abwaschen,wasche ab,wäschst ab,wäscht ab,wusch ab,abgewaschen,wüsche ab,wasch ab,wascht ab,haben
abwechseln,wechsel ab,wechselst ab,wechselt ab,wechselte ab,abgewechselt,wechselte ab,wechsel ab,wechselt ab,haben
abwehren,wehre ab,wehrst ab,wehrt ab,wehrte ab,abgewehrt,wehrte ab,wehr ab,wehrt ab,haben
abweichen,weiche ab,weichst ab,weicht ab,wich ab,abgewichen,wiche ab,weich ab,weicht ab,sein
abweisen,weise ab,weist ab,weist ab,wies ab,abgewiesen,wiese ab,weise ab,weist ab,haben
abwenden,wende ab,wendest ab,wendet ab,wendete ab,abgewendet,wendete ab,wende ab,wendet ab,haben
abwerfen,werfe ab,wirfst ab,wirft ab,warf ab,abgeworfen,würfe ab,wirf ab,werft ab,haben
abwerten,werte ab,wertest ab,wertet ab,wertete ab,abgewertet,wertete ab,wert ab,wertet ab,haben
abwetzen,wetze ab,wetzt ab,wetzt ab,wetzte ab,abgewetzt,wetzte ab,wetz ab,wetzt ab,haben<!--Das in einigen Standardreferenzen angegebene Hilfsverb „sein“ gehört zu einer weiteren Bedeutung-->
abwickeln,wickele ab,wickelst ab,wickelt ab,wickelte ab,abgewickelt,wickelte ab,wickle ab,wickelt ab,haben
abwiegeln,wiegele ab,wiegelst ab,wiegelt ab,wiegelte ab,abgewiegelt,wiegelte ab,wiegle ab,wiegelt ab,haben
abwiegen,wiege ab,wiegst ab,wiegt ab,wog ab,abgewogen,wöge ab,wieg ab,wiegt ab,haben
abwinken,winke ab,winkst ab,winkt ab,winkte ab,abgewinkt,winkte ab,wink ab,winkt ab,haben
abwischen,wische ab,wischst ab,wischt ab,wischte ab,abgewischt,wischte ab,wisch ab,wischt ab,haben
abwohnen,wohne ab,wohnst ab,wohnt ab,wohnte ab,abgewohnt,wohnte ab,wohn ab,wohnt ab,haben
abwracken,wracke ab,wrackst ab,wrackt ab,wrackte ab,abgewrackt,wrackte ab,wrack ab,wrackt ab,haben
abwürgen,würge ab,würgst ab,würgt ab,würgte ab,abgewürgt,würgte ab,würge ab,würgt ab,haben
abzählen,zähle ab,zählst ab,zählt ab,zählte ab,abgezählt,zählte ab,zähl ab,zählt ab,haben
abzäumen,zäume ab,zäumst ab,zäumt ab,zäumte ab,abgezäumt,zäumte ab,zäume ab,zäumt ab,haben
abzäunen,zäune ab,zäunst ab,zäunt ab,zäunte ab,abgezäunt,zäunte ab,zäune ab,zäunt ab,haben
abzeichnen,zeichne ab,zeichnest ab,zeichnet ab,zeichnete ab,abgezeichnet,zeichnete ab,zeichne ab,zeichnet ab,haben
abziehen,ziehe ab,ziehst ab,zieht ab,zog ab,abgezogen,zöge ab,ziehe ab,zieht ab,haben
abzielen,ziele ab,zielst ab,zielt ab,zielte ab,abgezielt,zielte ab,ziele ab,zielt ab,haben
abzischen,zische ab,zischst ab,zischt ab,zischte ab,abgezischt,zischte ab,zische ab,zischt ab,sein
abzocken,zocke ab,zockst ab,zockt ab,zockte ab,abgezockt,zockte ab,zocke ab,zockt ab,haben
abzwacken,zwacke ab,zwackst ab,zwackt ab,zwackte ab,abgezwackt,zwackte ab,zwack ab,zwackt ab,haben
abzwitschern,zwitschere ab,zwitscherst ab,zwitschert ab,zwitscherte ab,abgezwitschert,zwitscherte ab,zwitschere ab,zwitschert ab,sein
acetylieren,acetyliere,acetylierst,acetyliert,acetylierte,acetyliert,acetylierte,acetylier,acetyliert,haben
acheln,achele,achelst,achelt,achelte,geachelt,achelte,achele,achelt,haben
Acht geben,gebe Acht,gibst Acht,gibt Acht,gab Acht,Acht gegeben,gäbe Acht,gib Acht,gebt Acht,haben
achten,achte,achtest,achtet,achtete,geachtet,achtete,achte,achtet,haben
ächten,ächte,ächtest,ächtet,ächtete,geächtet,ächtete,ächte,ächtet,haben
achtgeben,gebe acht,gibst acht,gibt acht,gab acht,achtgegeben,gäbe acht,gib acht,gebt acht,haben
ächzen,ächze,ächzt,ächzt,ächzte,geächzt,ächzte,ächze,ächzt,haben
ackern,ackere,ackerst,ackert,ackerte,geackert,ackerte,ackere,ackert,haben
adaptieren,adaptiere,adaptierst,adaptiert,adaptierte,adaptiert,adaptierte,adaptier,adaptiert,haben
adden,adde,addest,addet,addete,geaddet,addete,adde,addet,haben
addieren,addiere,addierst,addiert,addierte,addiert,addierte,addier,addiert,haben
adeln,adele,adelst,adelt,adelte,geadelt,adelte,adele,adelt,haben
adjungieren,adjungiere,adjungierst,adjungiert,adjungierte,adjungiert,adjungierte,adjungiere,adjungiert,haben
adjustieren,adjustiere,adjustierst,adjustiert,adjustierte,adjustiert,adjustierte,adjustier,adjustiert,haben
adoptieren,adoptiere,adoptierst,adoptiert,adoptierte,adoptiert,adoptierte,adoptiere,adoptiert,haben
adorieren,adoriere,adorierst,adoriert,adorierte,adoriert,adorierte,adorier,adoriert,haben
adressieren,adressiere,adressierst,adressiert,adressierte,adressiert,adressierte,adressiere,adressiert,haben
adsorbieren,adsorbiere,adsorbierst,adsorbiert,adsorbierte,adsorbiert,adsorbierte,adsorbiere,adsorbiert,haben
adstringieren,—,—,adstringiert,adstringierte,adstringiert,adstringierte,—,—,haben
aerifizieren,aerifiziere,aerifizierst,aerifiziert,aerifizierte,aerifiziert,aerifizierte,aerifizier,aerifiziert,haben
affichieren,affichiere,affichierst,affichiert,affichierte,affichiert,affichierte,affichiere,affichiert,haben
affigieren,affigiere,affigierst,affigiert,affigierte,affigiert,affigierte,affigiere,affigiert,haben
affizieren,affiziere,affizierst,affiziert,affizierte,affiziert,affizierte,affiziere,affiziert,haben
aggravieren,aggraviere,aggravierst,aggraviert,aggravierte,aggraviert,aggravierte,aggravier,aggraviert,haben
aggregieren,aggregiere,aggregierst,aggregiert,aggregierte,aggregiert,aggregierte,aggregiere,aggregiert,haben
agieren,agiere,agierst,agiert,agierte,agiert,agierte,agiere,agiert,haben
agitieren,agitiere,agitierst,agitiert,agitierte,agitiert,agitierte,agitiere,agitiert,haben
ahnden,ahnde,ahndest,ahndet,ahndete,geahndet,ahndete,ahnde,ahndet,haben
ähneln,ähnele,ähnelst,ähnelt,ähnelte,geähnelt,ähnelte,ähnele,ähnelt,haben
ahnen,ahne,ahnst,ahnt,ahnte,geahnt,ahnte,ahne,ahnt,haben
ähnlichsehen,—,—,sieht ähnlich,sah ähnlich,ähnlichgesehen,sähe ähnlich,—,—,haben
airbrushen,airbrushe,airbrushst,airbrusht,airbrushte,geairbrusht,airbrushte,airbrush,airbrusht,haben
akkommodieren,akkommodiere,akkommodierst,akkommodiert,akkommodierte,akkommodiert,akkommodierte,akkommodiere,akkommodiert,haben
akkordieren,akkordiere,akkordierst,akkordiert,akkordierte,akkordiert,akkordierte,akkordier,akkordiert,haben
akkreditieren,akkreditiere,akkreditierst,akkreditiert,akkreditierte,akkreditiert,akkreditierte,akkreditier,akkreditiert,haben
akkumulieren,akkumuliere,akkumulierst,akkumuliert,akkumulierte,akkumuliert,akkumulierte,akkumulier,akkumuliert,haben
akquirieren,akquiriere,akquirierst,akquiriert,akquirierte,akquiriert,akquirierte,akquiriere,akquiriert,haben
aktivieren,aktiviere,aktivierst,aktiviert,aktivierte,aktiviert,aktivierte,aktiviere,aktiviert,haben
aktualisieren,aktualisiere,aktualisierst,aktualisiert,aktualisierte,aktualisiert,aktualisierte,aktualisiere,aktualisiert,haben
akzentuieren,akzentuiere,akzentuierst,akzentuiert,akzentuierte,akzentuiert,akzentuierte,akzentuiere,akzentuiert,haben
akzeptieren,akzeptiere,akzeptierst,akzeptiert,akzeptierte,akzeptiert,akzeptierte,akzeptier,akzeptiert,haben
alarmieren,alarmiere,alarmierst,alarmiert,alarmierte,alarmiert,alarmierte,alarmier,alarmiert,haben
albern,albere,alberst,albert,alberte,gealbert,alberte,albere,albert,haben
alimentieren,alimentiere,alimentierst,alimentiert,alimentierte,alimentiert,alimentierte,alimentiere,alimentiert,haben
aliquotieren,aliquotiere,aliquotierst,aliquotiert,aliquotierte,aliquotiert,aliquotierte,aliquotiere,aliquotiert,haben
alleinstehen,stehe allein,stehst allein,steht allein,stand allein,alleingestanden,stände allein,steh allein,steht allein,haben
allemachen,mache alle,machst alle,macht alle,machte alle,allegemacht,machte alle,mach alle,macht alle,haben
allergisieren,allergisiere,allergisierst,allergisiert,allergisierte,allergisiert,allergisierte,allergisier,allergisiert,haben
alliterieren,alliteriere,alliterierst,alliteriert,alliterierte,alliteriert,alliterierte,alliterier,alliteriert,haben
