Infinitive,Präsens_ich,Präsens_du,"Präsens_er, sie, es",Präteritum_ich,Partizip II,Konjunktiv II_ich,Imperativ Singular,Imperativ Plural,Hilfsverb
sömmern,sömmere,sömmerst,sömmert,sömmerte,gesömmert,sömmerte,sömmer,sömmert,haben
sondern,sondere,sonderst,sondert,sonderte,gesondert,sonderte,sondere,sondert,haben
sondieren,sondiere,sondierst,sondiert,sondierte,sondiert,sondierte,sondiere,sondiert,haben
sonnen,sonne,sonnst,sonnt,sonnte,gesonnt,sonnte,sonn,sonnt,haben
sonnenbaden,sonnenbade,sonnenbadest,sonnenbadet,sonnenbadete,sonnengebadet,sonnenbadete,sonnenbade,sonnenbadet,haben
sorgen,sorge,sorgst,sorgt,sorgte,gesorgt,sorgte,sorg,sorgt,haben
sororisieren,sororisiere,sororisierst,sororisiert,sororisierte,sororisiert,sororisierte,sororisier,sororisiert,haben
sortieren,sortiere,sortierst,sortiert,sortierte,sortiert,sortierte,sortiere,sortiert,haben
soupieren,soupiere,soupierst,soupiert,soupierte,soupiert,soupierte,soupier,soupiert,haben
spachen,—,—,spacht,spachte,gespacht,spachte,—,—,haben
spachteln,spachtel,spachtelst,spachtelt,spachtelte,gespachtelt,spachtelte,spachtel,spachtelt,haben
spacken,spacke,spackst,spackt,spackte,gespackt,spackte,spack,spackt,haben
spähen,spähe,spähst,späht,spähte,gespäht,spähte,spähe,späht,haben
spalten,spalte,spaltest,spaltet,spaltete,gespalten,spaltete,spalte,spaltet,haben
spänen,späne,spänst,spänt,spänte,gespänt,spänte,spän,spänt,haben
spannen,spanne,spannst,spannt,spannte,gespannt,spannte,spanne,spannt,haben
sparen,spare,sparst,spart,sparte,gespart,sparte,spare,spart,haben
spaßen,spaße,spaßt,spaßt,spaßte,gespaßt,spaßte,spaße,spaßet,haben
spaten,spate,spatest,spatet,spatete,gespatet,spatete,spat,spatet,haben
spawnen,spawne,spawnst,spawnt,spawnte,gespawnt,spawnte,spawne,spawnt,sein
spazieren,spaziere,spazierst,spaziert,spazierte,spaziert,spazierte,spaziere,spaziert,sein
spazieren gehen,gehe spazieren,gehst spazieren,geht spazieren,ging spazieren,spazieren gegangen,ginge spazieren,geh spazieren,geht spazieren,sein
